date,name,pos,id,Oppt,points,pointsDist,HomeAway,meanPoints,deviationPoints,mean10Day,mean5Day,OpptAverage,OpptAverage5
20160527,Eduardo Nunez,SS,456488,sea,9.2,0.2277227723,1,0.832339718,0.7027359254,0.6139680334,0.4375,0.1340717108,0.488
20160527,Elvis Andrus,SS,462101,pit,0,0,0,0.4463064857,0.1593000999,0.5197061451,0.5665322581,0.7019297534,0.4436666667
20160527,Erick Aybar,SS,430947,mia,3,0.0742574257,0,0,0,0.1179986101,0.2399193548,0.2613051902,0.6652380952
20160527,Francisco Lindor,SS,596019,bal,22.2,0.5495049505,0,0.7229836901,0.5932144023,0.7623349548,0.2459677419,0.3650387356,0.6293333333
20160527,Freddy Galvis,SS,520471,chc,3,0.0742574257,1,0.3789120186,0.4189862195,0.3588801747,0.5463709677,0,0.4205714286
20160527,Gregorio Petit,SS,463610,hou,15.4,0.3811881188,0,0.1755472177,0.2058196213,0.254343294,0,0.6123245535,0.4904761905
20160527,Jimmy Rollins,SS,276519,kan,3,0.0742574257,1,0.4949407659,0.3728329516,0.2633773454,0.1700268817,0.3275460934,0.728952381
20160527,Jonathan Villar,SS,542340,cin,40.4,1,0,0.7326755417,0.6396661946,0.8735232801,1,1,0.5028571429
20160527,Jordy Mercer,SS,474568,tex,3.2,0.0792079208,1,0.4268899658,0.2873267692,0.5191104934,0.5168010753,0.3086723022,0.6192380952
20160527,Jose Iglesias,SS,578428,oak,6,0.1485148515,1,0.18081976,0.2239871143,0.0145934677,0.0893817204,0.5643747947,0.8577142857
20160527,Luis Sardinas,SS,596143,min,0,0,0,0.0528019953,0.0186975035,0.765114663,0.7721774194,0.6962260428,0.9664761905
20160527,Manny Machado,SS,592518,cle,27.9,0.6905940594,1,1,1,0.6187167014,0.8649193548,0.1734043931,0.4088095238
20160527,Marcus Semien,SS,543760,det,0,0,0,0.4268024547,0.629391914,0.1980542043,0.375,0.672790004,0.7365714286
20160527,Nick Ahmed,SS,605113,sdg,6,0.1485148515,0,0.2163601956,0.380533991,0.2605976372,0.4038978495,0.5708149993,0.723047619
20160527,Trevor Story,SS,596115,sfo,16,0.396039604,0,0.9733309997,0.9849143995,0.457609451,0.3447580645,0.3975292053,0.26
20160527,Troy Tulowitzki,SS,453064,bos,3,0.0742574257,0,0.4657011278,0.6624882123,0.3338628015,0.6149193548,0.3272709407,0.4700952381
20160527,Xander Bogaerts,SS,593428,tor,6.2,0.1534653465,1,0.9187350274,0.528419512,0.6529997684,0.997983871,0.2781131662,0.4436190476
20160527,Zack Cozart,SS,446359,mil,0,0,1,0.6112429854,0.3684496073,0.4054899236,0.1149193548,0.7218771206,0.3207619048
20160527,Adrian Beltre,3B,134181,pit,21.7,0.381370826,0,0.6522604719,0.6447606963,0.6212121212,0.6918604651,0.7019297534,0.4436666667
20160527,Anthony Rendon,3B,543685,stl,18,0.316344464,0,0.6861618621,0.4345340006,1,0.6906976744,0.3953058934,0.7890952381
20160527,Brandon Drury,3B,592273,sdg,22.2,0.3901581722,0,0.6841596323,0.6070310901,0.3992673993,0.3154069767,0.5708149993,0.723047619
20160527,Brett Wallace,3B,477165,ari,9.2,0.1616871705,1,0.4389319924,0.5558194033,0.4871794872,0.398255814,0.6325972264,1
20160527,Chase d'Arnaud,3B,488818,mia,3,0.0527240773,0,0.6672203135,0.3015965121,0.9571095571,0.4360465116,0.2613051902,0.6652380952
20160527,Chase Headley,3B,452104,tam,0,0,1,0.3143842006,0.3807473472,0.5314685315,0.5872093023,0.2301877059,0.7605238095
20160527,Cheslor Cuthbert,3B,596144,chw,6,0.1054481547,0,0.2736001456,0.4247689644,0.2043512044,0.1802325581,0.1217324953,0.8896666667
20160527,Danny Valencia,3B,502143,det,3.2,0.0562390158,0,0.6645696344,0.9714112035,0.569023569,0.2790697674,0.672790004,0.7365714286
20160527,David Freese,3B,501896,tex,15.7,0.2759226714,1,0.6543992173,0.4246559938,0.8018648019,0.7248062016,0.3086723022,0.6192380952
20160527,David Wright,3B,431151,lad,18.7,0.3286467487,0,0.7393802189,0.6608229648,0.7094017094,0.9186046512,0.1398895428,0
20160527,Eugenio Suarez,3B,553993,mil,0,0,1,0.6611226138,0.835382508,0.2202797203,0,0.7218771206,0.3207619048
20160527,Evan Longoria,3B,446334,nyy,0,0,0,0.6689950172,0.482697189,0.4757834758,0.2813953488,0.3483844026,0.4398095238
20160527,Hernan Perez,3B,541650,cin,16.2,0.2847100176,0,0.969830038,0.7828076266,0.8197358197,0.523255814,1,0.5028571429
20160527,Javier Baez,3B,595879,phi,9.2,0.1616871705,0,0.3294123001,0.5275562967,0,0.1744186047,0.2333934148,0.6112380952
20160527,Josh Donaldson,3B,518626,bos,56.9,1,0,0.89943346,0.6833361064,0.5023310023,0.4026162791,0.3272709407,0.4700952381
20160527,Juan Uribe,3B,346874,bal,9.5,0.1669595782,0,0.2547951127,0.2405378775,0.6445221445,0.8154069767,0.3650387356,0.6293333333
20160527,Justin Turner,3B,457759,nym,3,0.0527240773,1,0.4377716093,0.3136020946,0.6188811189,0.6763565891,0.2194579532,0.5118095238
20160527,Kyle Seager,3B,572122,min,0,0,0,0.7817455803,0.6247519629,0.8124838125,0.4563953488,0.6962260428,0.9664761905
20160527,Maikel Franco,3B,596748,chc,13,0.2284710018,1,0.5600327638,0.7086535119,0.4976689977,0.6787790698,0,0.4205714286
20160527,Martin Prado,3B,445988,atl,6.2,0.1089630931,1,0.5413187413,0.2008090501,0.3601398601,0.4,0.6267932485,0.6483809524
20160527,Matt Duffy,3B,622110,col,0,0,1,0.53233146,0.5258834584,0.5068635069,0.7543604651,0.6804702481,0.6328095238
20160527,Nick Castellanos,3B,592206,oak,21.7,0.381370826,1,0.8756456053,0.7528985929,0.6002331002,0.6671511628,0.5643747947,0.8577142857
20160527,Nolan Arenado,3B,571448,sfo,9.5,0.1669595782,0,1,1,0.3908313908,0.1409883721,0.3975292053,0.26
20160527,Ryan Flaherty,3B,475247,cle,0,0,1,0,0,0.0629370629,0.0872093023,0.1734043931,0.4088095238
20160527,Todd Frazier,3B,453943,kan,21.7,0.381370826,1,0.9635389411,0.8603266316,0.8912198912,1,0.3275460934,0.728952381
20160527,Trevor Plouffe,3B,461858,sea,0,0,1,0.4339719233,0.5545764208,0.2167832168,0.2984496124,0.1340717108,0.488
20160527,Yunel Escobar,3B,488862,hou,6.5,0.1142355009,0,0.5563240882,0.3243549865,0.5742035742,0.6264534884,0.6123245535,0.4904761905
20160527,Adrian Gonzalez,1B,408236,nym,9.2,0.2613636364,1,0.5002128062,0.3407661356,0.2358453039,0.2085620198,0.2194579532,0.5118095238
20160527,Brandon Moss,1B,461235,was,3,0.0852272727,1,0.7044831174,0.7311000075,0.1268508287,0.2166117819,0.1062002371,0.564952381
20160527,Buster Posey,1B,457763,col,12.2,0.3465909091,1,0.5858909486,0.4778779177,0.3363535912,0.2634467618,0.6804702481,0.6328095238
20160527,C.J. Cron,1B,543068,hou,0,0,0,0.4163671616,0.4331476386,0.2710023678,0.3571167216,0.6123245535,0.4904761905
20160527,Chris Carter,1B,474892,cin,0,0,0,0.8137945711,0.9136369376,0.3171270718,0.1214782291,1,0.5028571429
20160527,Chris Davis,1B,448801,cle,15.7,0.4460227273,1,0.7905514045,0.9091594614,0.2209944751,0.0987925357,0.1734043931,0.4088095238
20160527,Dae-Ho Lee,1B,493193,min,6.5,0.1846590909,0,0.4534781992,0.9035180918,0.0035359116,0.0307354555,0.6962260428,0.9664761905
20160527,Dustin Ackley,1B,554429,tam,0,0,1,0,0,0.1113812155,0.0351262349,0.2301877059,0.7605238095
20160527,Eric Campbell,1B,493472,lad,3,0.0852272727,0,0.2871228601,0.3352400715,0.1533701657,0.2195389682,0.1398895428,0
20160527,Eric Hosmer,1B,543333,chw,35.2,1,0,0.6891610707,0.3965041863,0.3046777164,0.2129527991,0.1217324953,0.8896666667
20160527,Freddie Freeman,1B,518692,mia,15.4,0.4375,0,0.5640901353,0.5688868185,0.246335175,0,0.2613051902,0.6652380952
20160527,Joe Mauer,1B,408045,sea,31.4,0.8920454545,1,0.463610139,0.1499464775,0.3535911602,0.4083424808,0.1340717108,0.488
20160527,Joey Votto,1B,458015,mil,18.7,0.53125,1,0.5138796936,0.3844230298,0.2445672192,0.0987925357,0.7218771206,0.3207619048
