date,name,pos,id,Oppt,points,pointsDist,HomeAway,meanPoints,variancePoints,deviationPoints,mean10Day,mean5Day,meanHomeAway,meanRightLeft,OpptWins,OpptAverage,OpptPointsAverage10,OpptAverage5,OpptPosTotalPointsAverage,OpptPosTotalPointsAverage10
20160611,J.T. Realmuto,C,592663,ari,18.7,0.7276264591,1,0.456409504,0.2156545839,0.312215446,0.4357331323,0.53125,0.7728553265,0.4951915878,0.347826087,0.5769378867,0.3108984755,0.1746637221,0.5400619222,0.3108984755
20160611,James McCann,C,543510,nyy,9.2,0.3579766537,1,0.2777558712,0.54884286,0.6510066318,0.6077396658,0.5503472222,0.2056792401,0.0463953546,0.5652173913,0.2667271764,0.1631888132,0.1235695643,0.2543956044,0.1631888132
20160611,Jason Castro,C,488771,tam,3,0.1167315175,1,0.5484231859,0.7099740691,0.7856901008,0.6451187335,0.8663194444,0.7035725861,0.5743806466,0.4347826087,0.3092325309,0.7071034706,0.7349929733,0.1223412181,0.7071034706
20160611,Josh Thole,C,489365,bal,0,0,0,0,0,0,0.110817942,0.3229166667,0,0,0.7826086957,0.3691130996,0.5113345587,0.1582011644,0.3592857143,0.5113345587
20160611,Kurt Suzuki,C,435559,bos,25.7,1,0,0.2177002999,0.1462478362,0.2245469867,0.27176781,0.2690972222,0.293926022,0.1776367236,0.7391304348,0.3650087406,0.5202724619,0,0.3224175824,0.5202724619
20160611,Martin Maldonado,C,455117,nym,12.2,0.4747081712,0,0.3414886886,0.11687533,0.1845455559,0.9340369393,0,0.5145471317,0.3177378833,0.6956521739,0.2843833862,0.3120337334,0.4940373419,0.3509065934,0.3120337334
20160611,Miguel Montero,C,471083,atl,25.7,1,1,0.5341176902,0.3913356949,0.5037469894,0.2471416007,0.2118055556,0.6192399425,0.6121158678,0,0.5665721267,1,0.2662116041,0.6182005495,1
20160611,Rene Rivera,C,425784,mil,0,0,1,0.321772781,0.2866784809,0.3940481841,0.3134564644,0,0.3920703381,0.4264512587,0.4347826087,0.6098416383,0.6741809925,0.2773037543,0.4368131868,0.6741809925
20160611,Salvador Perez,C,521692,chw,3,0.1167315175,1,0.5420957551,0.7003821006,0.778037902,0.2700087951,0.3606770833,0.5823257128,0.482505033,0.5652173913,0.2893089857,0.9250729809,0.9983938968,0.3502747253,0.9250729809
20160611,Stephen Vogt,C,519390,cin,6,0.233463035,1,0.4487615659,0.3928759109,0.505280978,0.4890061566,0.4375,0.5612425519,0.4988686089,0.2173913043,1,0.9159909179,0.8389379643,1,0.9159909179
20160611,Steve Clevenger,C,502182,tex,9,0.3501945525,0,0.4378031894,0.3815171299,0.4939181047,0.8548812665,1,0.4729957701,0.4518160491,0.8260869565,0.2792623848,0.5890366526,0.5424613531,0.1381868132,0.5890366526
20160611,Tucker Barnhart,C,571466,oak,12,0.46692607,0,0.3433227265,0.2044840471,0.2986758828,0.4654353562,0.8046875,0.5181454796,0.295900371,0.3043478261,0.4759576244,0.9386960753,0.2985344308,0.1249496337,0.9386960753
20160611,Wilson Ramos,C,467092,phi,9.4,0.3657587549,0,0.7556052784,0.7002381037,0.7779227044,1,0.7621527778,0.760389918,0.7293562717,0.4782608696,0.4301641731,0.653746351,1,0.1153846154,0.653746351
20160611,Yadier Molina,C,425877,pit,3,0.1167315175,1,0.4386926978,0.1889582931,0.2795159812,0.3475310969,0.6961805556,0.5454779653,0.4351779445,0.5652173913,0.5925319902,0.3518938984,0.6072676169,0.6934065934,0.3518938984
20160611,Yasmani Grandal,C,518735,sfo,9.5,0.3696498054,1,0.4301185706,0.3801277058,0.4925201555,0.4868073879,0.078125,0.3396823814,0.4633212984,0.7826086957,0.3106345982,0,0.1766713511,0.0953163772,0
20160611,Aaron Hill,3B,431094,nym,6,0.1485148515,0,0.4851031023,0.7447676636,0.8344663696,0.1812073263,0.086832965,0.2304379157,0.2291476903,0.6956521739,0.2843833862,0.3510951051,0.4940373419,0.2645771858,0.3510951051
