date,name,pos,id,Oppt,points,pointsDist,HomeAway,meanPoints,deviationPoints,OpptAverage
20160625,Chris Carter,1B,474892,was,34.9,0.9088541667,0,0.5967217399,0.7915435912,0.1472862558
20160625,Chris Davis,1B,448801,tam,25.2,0.65625,0,0.770928308,0.7614573152,0.3435040616
20160625,Dae-Ho Lee,1B,493193,stl,13,0.3385416667,0,0.3548302796,0.8745115372,0.2366242055
20160625,Daniel Descalso,1B,518614,ari,9.7,0.2526041667,0,0.8212346468,0.3022171124,0.465632896
20160625,Edwin Encarnacion,1B,429665,chw,38.4,1,1,0.8716571329,0.9918653191,0.3309300616
20160625,Eric Hosmer,1B,543333,hou,12.2,0.3177083333,0,0.6683846802,0.537156286,0.4140252264
20160625,Freddie Freeman,1B,518692,nym,6,0.15625,0,0.5421615029,0.5953806123,0.2505792137
20160625,Hanley Ramirez,1B,434670,tex,24.7,0.6432291667,1,0.579256076,0.3608902244,0.2413144022
20160625,James Loney,1B,425766,atl,3,0.078125,1,0.3790760475,0.6057272023,0.5484104145
20160625,Jefry Marte,1B,527043,oak,0,0,0,0.5142716107,0.5781342401,0.4560118924
20160625,Joey Votto,1B,458015,sdg,3,0.078125,0,0.639333314,0.3919310096,0.5940511933
20160625,John Jaso,1B,444379,lad,9.2,0.2395833333,0,0.3732396411,0.1466855231,0.1265982908
20160625,Jose Abreu,1B,547989,tor,3,0.078125,0,0.5435697901,0.3721282636,0.3010037386
20160625,Justin Bour,1B,571506,chc,31.7,0.8255208333,0,0.5366735387,0.7338458464,0
20160625,Logan Morrison,1B,489149,bal,21.9,0.5703125,1,0.3469612939,0.5159938924,0.3784894038
20160625,Mark Teixeira,1B,407893,min,3,0.078125,0,0,0.2565696152,0.7205218884
20160625,Marwin Gonzalez,1B,503556,kan,28.4,0.7395833333,1,0.4730973606,0.3440662348,0.3136179084
20160625,Miguel Cabrera,1B,408234,cle,3,0.078125,0,0.7669938152,0.7661850127,0.1467980829
20160625,Mike Napoli,1B,435063,det,3,0.078125,1,0.7070617614,0.5096332402,0.5154836456
20160625,Mitch Moreland,1B,519048,bos,13.5,0.3515625,0,0.3728331252,0.3579685637,0.3482321165
20160625,Paul Goldschmidt,1B,502671,col,9.5,0.2473958333,1,0.9725021052,0.7258154056,0.678088656
20160625,Ryan Zimmerman,1B,475582,mil,15.9,0.4140625,1,0.4697436046,0.5454111403,0.6107599921
20160625,Tommy Joseph,1B,571830,sfo,12.2,0.3177083333,1,0.4668834751,0.746261842,0.2646718427
20160625,Wil Myers,1B,571976,cin,6,0.15625,1,0.9877754871,1,1
20160625,Yonder Alonso,1B,475174,laa,3,0.078125,1,0.0014082871,0,0.4941001027
20160619,Adrian Gonzalez,1B,408236,mil,3,0.0859598854,0,0.3214029504,0.3444005964,0.6608668226
20160619,Anthony Rizzo,1B,519203,pit,34.9,1,0,0.9022786857,0.8755875477,0.6108268265
20160619,Brandon Belt,1B,474832,tam,27.9,0.7994269341,1,0.6213233856,0.5354394144,0.3309050502
20160619,Brandon Moss,1B,461235,tex,3,0.0859598854,0,0.7727314229,0.8386219526,0.2566664622
20160619,Carlos Santana,1B,467793,chw,3,0.0859598854,0,0.5917669923,0.6512307787,0.3801412374
20160619,Chris Carter,1B,474892,lad,3,0.0859598854,1,0.5813322551,0.8341505148,0.1684789406
20160619,Chris Davis,1B,448801,tor,31.1,0.8911174785,0,0.6705492585,0.775520003,0.3087238735
20160619,Chris Johnson,1B,453400,col,3,0.0859598854,0,0.124942935,0.1804714856,0.6653569921
20160619,Dae-Ho Lee,1B,493193,bos,3,0.0859598854,1,0.4280981387,0.9712912122,0.3703233685
20160619,Daniel Descalso,1B,518614,mia,9,0.2578796562,1,1,0.3090169467,0.3253473602
20160619,Edwin Encarnacion,1B,429665,bal,0,0,1,0.8280746605,1,0.3986754447
20160619,Eric Hosmer,1B,543333,det,0,0,0,0.6778796614,0.5283598771,0.5584606741
20160619,Freddie Freeman,1B,518692,nym,21.5,0.6160458453,1,0.5116151669,0.6173657725,0.2933062934
20160619,Hanley Ramirez,1B,434670,sea,6.5,0.1862464183,0,0.5097238708,0.3225523228,0.3042737732
20160619,James Loney,1B,425766,atl,0,0,0,0.2056295407,0.2835272992,0.6067522737
20160619,Jefry Marte,1B,527043,oak,3,0.0859598854,1,0.8608658223,0.6210997962,0.5039431579
20160619,Joey Votto,1B,458015,hou,3,0.0859598854,1,0.5975060978,0.3890596015,0.47300561
20160619,John Jaso,1B,444379,chc,0,0,1,0.3345246325,0.1348352357,0
20160619,Jose Abreu,1B,547989,cle,9.5,0.2722063037,1,0.4623632071,0.3277109926,0.2254417272
20160619,Logan Morrison,1B,489149,sfo,3,0.0859598854,0,0.3792635684,0.5447493051,0.3036799514
20160619,Marwin Gonzalez,1B,503556,cin,3,0.0859598854,0,0.4049721523,0.3746180787,1
20160619,Miguel Cabrera,1B,408234,kan,6,0.1719197708,1,0.7150142825,0.7706322205,0.358986868
20160619,Mitch Moreland,1B,519048,stl,24.9,0.7134670487,1,0.3352420207,0.3347737404,0.3132718453
20160619,Paul Goldschmidt,1B,502671,phi,12.4,0.3553008596,1,0.868809266,0.7475668468,0.5675305105
20160619,Ryan Zimmerman,1B,475582,sdg,0,0,1,0.4940456781,0.5679967628,0.6364732259
20160619,Tommy Joseph,1B,571830,ari,0,0,0,0.4967847966,0.7372283113,0.5116019201
20160619,Trevor Plouffe,1B,461858,nyy,6.2,0.1776504298,0,0.171260125,0.4489225627,0.3359248992
20160619,Wil Myers,1B,571976,was,9.2,0.2636103152,0,0.8598614789,0.9770516384,0.184740803
20160619,Yonder Alonso,1B,475174,laa,3,0.0859598854,0,0,0,0.4989722035
20160615,Adrian Gonzalez,1B,408236,ari,9.2,0.2305764411,1,0.3786700125,0.3666675862,0.5660434638
20160615,Anthony Rizzo,1B,519203,was,25.2,0.6315789474,1,1,0.9005408264,0.1484658104
20160615,Byungho Park,1B,666560,laa,0,0,1,0.408955458,0.5134640607,0.5512161023
20160615,C.J. Cron,1B,543068,min,28.9,0.7243107769,0,0.2977728984,0.5448325523,0.7099609351
20160615,Chris Davis,1B,448801,bos,9.2,0.2305764411,1,0.8558814304,0.8248362862,0.3777567306
20160615,Dae-Ho Lee,1B,493193,tam,0,0,1,0.5222239649,1,0.3061623877
20160615,Edwin Encarnacion,1B,429665,phi,37.1,0.9298245614,1,0.8530740276,0.9509684816,0.4642948529
20160615,Eric Hosmer,1B,543333,cle,22.4,0.5614035088,0,0.7376568381,0.5339670548,0.2324775093
20160615,Freddie Freeman,1B,518692,cin,39.9,1,0,0.4677070263,0.4855333227,1
20160615,Hanley Ramirez,1B,434670,bal,34.9,0.8746867168,0,0.5689303639,0.2425137,0.3971159053
20160615,James Loney,1B,425766,pit,9.5,0.2380952381,0,0.061402133,0.1557324695,0.5652225489
