date,name,pos,id,Oppt,points,pointsDist,HomeAway,meanPoints,variancePoints,deviationPoints,mean10Day,mean5Day,meanHomeAway,meanRightLeft,OpptWins,OpptAverage,OpptPointsAverage10,OpptAverage5,OpptPosTotalPointsAverage,OpptPosTotalPointsAverage10,OpptPosTotalPointsAverage5,opptPitchMean,opptPitchVar,opptPitchMean10,opptPitchMean5,opptPitchMeanHA
20160510,Ryan Flaherty,3B,475247,min,6,0.1604278075,1,0,0,0,0.076142132,0.2419611589,0.2329753279,0.3089322029,0.0588235294,0.5520239685,0.540909942,0.5923849194,0.8379514356,0.540909942,0.4528301887,0.6987951807,0.5440512048,0.6304347826,0.962962963,0.3773584906
20160510,Todd Frazier,3B,453943,tex,25.9,0.692513369,1,0.7107358025,0.7673074426,0.8437607488,0.812464749,1,0.5565547609,0.2864262596,0.6470588235,0.2638719474,0.6408912189,0.3841717398,0.7057375172,0.6408912189,0.7127091492,0.5140554217,0.9467034806,0.0869565217,0.1851851852,0.8018867925
20160510,Trevor Plouffe,3B,461858,bal,31.7,0.8475935829,0,0.2765432099,0.3272816384,0.4718069175,0,0.2419611589,0.6600967624,0.5370492367,0.6470588235,0.3210674367,0,0.3388337071,0.3032724462,0,0.0427198291,0.7228915663,0.0790662651,0.652173913,0.6388888889,0.7735849057
20160510,Yonder Alonso,3B,475174,bos,6.5,0.1737967914,1,0.157254321,0.1681265604,0.2867360278,0.3690073322,0.6602196753,0.185347405,0.4466101452,0.7058823529,0.2543625999,0.0906782438,0.1813521307,0.3303429555,0.0906782438,0.0954076184,0,0,0,0.1111111111,0.1509433962
20160510,Yunel Escobar,3B,488862,stl,6,0.1604278075,0,0.4196740741,0.1799194782,0.3022200776,0.3646890863,0.2387774594,0.3686213297,0.5249906911,0.5294117647,0.3263797267,0.375982962,0.6276300331,0.1963288765,0.375982962,0.5895336419,0.4016072289,0.1372155288,0.2608695652,0.3333333333,0.358490566
20160510,Adrian Gonzalez,1B,408236,nym,9.5,0.1983298539,0,0.4684669899,0.3208790074,0.5062652012,0.155613577,0.3103837472,0,0.571970742,0.7647058824,0.1500071067,0.1914088582,0,0.2776492107,0.1914088582,0,0.8253012048,0.3420321913,0.5588235294,0.6388888889,0.520661157
20160510,Anthony Rizzo,1B,519203,sdg,9.2,0.1920668058,0,1,1,1,1,0.7801918736,0.664477207,1,0.3529411765,0.5406169874,0.0074560427,0.3328527181,0.4736700264,0.0074560427,0.2769230769,0.6345373494,0.0581492637,0.568627451,0.5555555556,0.694214876
20160510,Ben Paulsen,1B,572019,ari,0,0,0,0.5389779933,0.2465461251,0.4281305941,0,0,0.4942794417,0.5383254042,0.5294117647,0.6400754422,0.3499888716,0.0823454021,0.6671380243,0.3499888716,0.5646153846,0.6746987952,1,0.7843137255,0.4259259259,0.4132231405
20160510,Billy Butler,1B,456714,bos,15.5,0.3235908142,1,0.1562849683,0.1089728902,0.2468642419,0.1775456919,0,0.1581230143,0.2449380589,0.7058823529,0.2543625999,0.5472957935,0.1813521307,0.5379453458,0.5472957935,0.2830769231,0,0,0,0.1111111111,0.132231405
20160510,Brandon Belt,1B,474832,tor,3,0.0626304802,0,0.7194181276,0.5549009766,0.7081750273,0.6945169713,0.6196388262,0.7347124549,0.7304066376,0.5882352941,0.2413476506,0.1691520142,0.1509131689,0.148179619,0.1691520142,0.3923076923,0.8393566265,0.1125857597,0.7549019608,0.8240740741,0.6721768595
20160510,Brandon Moss,1B,461235,laa,9,0.1878914405,1,0.7376501305,0.6201737312,0.7567125672,0.5545691906,0.7129420617,1,0.7738427686,0.3529411765,0.4515374195,0.5218276048,0.3364840329,0.4967251623,0.5218276048,0.2851282051,0.7550192771,0.6329484605,0.2647058824,0.462962963,0.7768595041
20160510,C.J. Cron,1B,543068,stl,9,0.1878914405,0,0.3035061544,0.2084985368,0.3839203376,0.4896083551,0.2859292701,0.1794880948,0.3407330646,0.5294117647,0.3263797267,0.8968395282,0.6276300331,0.8261736646,0.8968395282,0.9312820513,0.4016072289,0.1372155288,0.2352941176,0.3333333333,0.3140495868
20160510,Chris Carter,1B,474892,mia,6.2,0.1294363257,1,0.7526669153,0.7894854484,0.8721718562,0.7621932115,0.5225733634,0.4834451862,0.4871844908,0.5882352941,0.2249480246,0.5112397062,0.0810637616,0.3581857034,0.5112397062,0.2446153846,0.763053012,0.7546854083,1,0.962962963,0.7768595041
20160510,Chris Davis,1B,448801,min,12,0.2505219207,1,0.6528683327,0.6391219973,0.7703356784,0.3545691906,0.4853273138,0.8512565595,0.6469527418,0.0588235294,0.5520239685,0.3730247051,0.5923849194,0.4341320333,0.3730247051,0.7979487179,0.6987951807,0.5440512048,0.568627451,0.962962963,0.3305785124
20160510,Dae-Ho Lee,1B,493193,tam,25.7,0.5365344468,0,0.457538232,0.7410312283,0.8404721914,0.7399477807,0.2257336343,0.4050351622,0.5376524975,0.4705882353,0.1382224324,0.1910273123,0.0339634732,0,0.1910273123,0.28,0.9477903614,0.3135458501,0.6176470588,0.6111111111,1
20160510,Dustin Ackley,1B,554429,kan,19.4,0.4050104384,0,0,0,0,0.0553524804,0.1721218962,0.0302091886,0,0.4705882353,0.3494962262,0.5523035834,0.2505607177,0.4011663186,0.5523035834,0.4907692308,0.3951807229,0.6548192771,0.1568627451,0,0.6391190083
20160510,Edwin Encarnacion,1B,429665,sfo,0,0,1,0.5751809026,0.7372492104,0.8379561533,0.6945169713,1,0.6293328098,0.5212201145,0.5882352941,0.6627871731,0.7344758513,0.1501121435,0.7165988694,0.7344758513,0.6292307692,0.3012048193,0.1454254518,0.0882352941,0.1944444444,0.3099173554
20160510,Eric Hosmer,1B,543333,nyy,0,0,1,0.6542484148,0.3179265959,0.5033336596,0.673281114,0.973476298,0.8349784029,0.6776440189,0.2941176471,0.3695169816,0.3219452482,0.1087792374,0.3660863472,0.3219452482,0.6138461538,0.8232939759,0.1383136714,0.7254901961,0.9444444444,0.7052347107
20160510,Freddie Freeman,1B,518692,phi,21.7,0.4530271399,0,0.4998806416,0.252298219,0.4345350139,0.4613204028,0.7468021068,0.3810462999,0.4690160085,0.6470588235,0.2795206741,0.6985310483,0.2954715369,0.5953484612,0.6985310483,0.8123076923,0.4337349398,0.1524849398,0.3529411765,0.2777777778,0.2809917355
20160510,Joe Mauer,1B,408045,bal,3,0.0626304802,0,0.5059380828,0.1669365798,0.3312258877,0.3174934726,0,0.5586602649,0.5512250267,0.6470588235,0.3210674367,0.5813487647,0.3388337071,0.590740042,0.5813487647,0.7302564103,0.7228915663,0.0790662651,0.5882352941,0.6388888889,0.6776859504
20160510,Jose Abreu,1B,547989,tex,12.7,0.2651356994,1,0.5511823946,0.3440972623,0.528893408,0.7832898172,0.5598194131,0.4486666905,0.2018720266,0.6470588235,0.2638719474,0.6970843534,0.3841717398,0.3026611722,0.6970843534,0.3292307692,0.5140554217,0.9467034806,0.0784313725,0.1851851852,0.7024793388
20160510,Justin Bour,1B,571506,mil,0,0,0,0.5265423349,0.7366490719,0.8375563279,0.567310705,0.8295711061,0.4875861207,0.5271080486,0.3529411765,1,0.6721566882,0.5551105415,1,0.6721566882,0.7323076923,0.313253012,0.2795557229,0.3823529412,0.5,0
20160510,Mike Napoli,1B,435063,hou,15.7,0.3277661795,1,0.5963595673,0.3513795598,0.5358420869,0.7997016039,0.8194130926,0.3741387927,0.7184288973,0.3529411765,0.5930646486,0,0.1139057994,0.5876432628,0,0.0953846154,0.6506024096,0.0677710843,0.5294117647,0.6111111111,0.6776859504
20160510,Paul Goldschmidt,1B,502671,col,18.7,0.3903966597,1,0.689309959,0.7003877671,0.8130978348,0.4372497824,0.6918735892,0.5517349088,0.5943987242,0.4705882353,0.7415392945,0.6650344981,0.684556232,0.8132377513,0.6650344981,1,0.4457831325,0.3958019578,0.362745098,0.4537037037,0.132231405
20160510,Ryan Howard,1B,429667,atl,0,0,1,0.4523312197,0.4815731405,0.6502462368,0.3958224543,0.19751693,0.4553957091,0.431218836,0,0.6949723266,0.9338971734,0.5588486596,0.7636500835,0.9338971734,0.5887179487,0.6843373494,0.3438253012,0.5588235294,1,0.5344347107
20160510,Ryan Rua,1B,607387,chw,38.4,0.8016701461,0,0.2834763148,0.1411506069,0.2955709836,0.0522193211,0.1693002257,0.4032502767,0.3979772423,0.9411764706,0,0.2868907189,0.0043255367,0.239549595,0.2868907189,0,0.6506024096,0.62562751,0.5588235294,0.6111111111,0.7438016529
20160510,Ryan Zimmerman,1B,475582,det,40.9,0.8538622129,0,0.4544349123,0.2156697124,0.3925168888,0.4539599652,0.2562076749,0.3011905187,0.4008169088,0.4117647059,0.5997586126,1,1,0.5397057775,1,0.6353846154,0.6144578313,0.1058923193,0.5,0.4444444444,0.5537190083
20160510,Steven Pearce,1B,456665,sea,40.4,0.8434237996,1,0.5295262962,0.4774500506,0.6468676459,0.6863707572,0.2595936795,0.4968318281,0.5899171652,0.7058823529,0.1866582858,0.5261517917,0.5019224607,0.2278876732,0.5261517917,0.7184615385,0.6506024096,0.31312751,0.7647058824,0.8333333333,0.7272727273
